x,y,padded,tissue_ratio,is_informative
30720,1024,False,0.051484107971191406,True
25600,2048,False,0.2946290969848633,True
26624,2048,False,0.41403961181640625,True
27648,2048,False,0.2701435089111328,True
28672,2048,False,0.06551361083984375,True
29696,2048,False,0.23612689971923828,True
30720,2048,False,0.6864433288574219,True
31744,2048,False,0.36331844329833984,True
32768,2048,False,0.1096639633178711,True
34816,2048,False,0.2987947463989258,True
25600,3072,False,0.2917652130126953,True
26624,3072,False,0.2126293182373047,True
29696,3072,False,0.055995941162109375,True
30720,3072,False,0.10023689270019531,True
31744,3072,False,0.4727659225463867,True
32768,3072,False,0.9700717926025391,True
33792,3072,False,0.7713127136230469,True
34816,3072,False,0.7331981658935547,True
35840,3072,False,0.8069124221801758,True
36864,3072,False,0.4847707748413086,True
31744,4096,False,0.06231498718261719,True
32768,4096,False,0.3736763000488281,True
33792,4096,False,0.5482072830200195,True
34816,4096,False,0.4204235076904297,True
35840,4096,False,0.6770334243774414,True
36864,4096,False,0.9638786315917969,True
37888,4096,False,0.7485818862915039,True
38912,4096,False,0.6750316619873047,True
39936,4096,False,0.5061159133911133,True
35840,5120,False,0.18811702728271484,True
36864,5120,False,0.4592132568359375,True
37888,5120,False,0.8487272262573242,True
38912,5120,False,0.9078102111816406,True
39936,5120,False,0.6810884475708008,True
40960,5120,False,0.7543764114379883,True
41984,5120,False,0.0759897232055664,True
37888,6144,False,0.1575155258178711,True
38912,6144,False,0.6935138702392578,True
39936,6144,False,0.65191650390625,True
40960,6144,False,0.9875507354736328,True
41984,6144,False,0.8778114318847656,True
43008,6144,False,0.6518325805664062,True
44032,6144,False,0.31252479553222656,True
40960,7168,False,0.5041112899780273,True
41984,7168,False,0.5654916763305664,True
43008,7168,False,0.9762096405029297,True
44032,7168,False,0.9419078826904297,True
45056,7168,False,0.8068304061889648,True
46080,7168,False,0.30408382415771484,True
41984,8192,False,0.08768367767333984,True
43008,8192,False,0.7833528518676758,True
44032,8192,False,0.9752359390258789,True
45056,8192,False,0.6753807067871094,True
46080,8192,False,0.7565116882324219,True
47104,8192,False,0.8319082260131836,True
48128,8192,False,0.2670402526855469,True
44032,9216,False,0.4596891403198242,True
45056,9216,False,0.8964519500732422,True
46080,9216,False,0.9289665222167969,True
47104,9216,False,0.9257411956787109,True
48128,9216,False,0.9111356735229492,True
49152,9216,False,0.5101890563964844,True
50176,9216,False,0.2182483673095703,True
51200,9216,False,0.06393909454345703,True
54272,9216,False,0.09716606140136719,True
45056,10240,False,0.30931949615478516,True
46080,10240,False,0.3412036895751953,True
47104,10240,False,0.6076812744140625,True
48128,10240,False,0.6770524978637695,True
49152,10240,False,0.6787586212158203,True
50176,10240,False,0.49669551849365234,True
51200,10240,False,0.19736766815185547,True
52224,10240,False,0.29279232025146484,True
53248,10240,False,0.3489112854003906,True
54272,10240,False,0.650726318359375,True
55296,10240,False,0.5366086959838867,True
56320,10240,False,0.5890645980834961,True
57344,10240,False,0.12683582305908203,True
51200,11264,False,0.07150650024414062,True
54272,11264,False,0.2735280990600586,True
55296,11264,False,0.16784000396728516,True
56320,11264,False,0.579768180847168,True
57344,11264,False,0.15927982330322266,True
56320,12288,False,0.6101951599121094,True
57344,12288,False,0.08281517028808594,True
111616,15360,False,0.07532215118408203,True
109568,16384,False,0.06044960021972656,True
110592,16384,False,0.4378042221069336,True
111616,16384,False,0.42226314544677734,True
112640,16384,False,0.2442951202392578,True
113664,16384,False,0.46657848358154297,True
114688,16384,False,0.3510885238647461,True
115712,16384,False,0.7891397476196289,True
116736,16384,False,0.41593456268310547,True
117760,16384,False,0.1996593475341797,True
105472,17408,False,0.4650421142578125,True
106496,17408,False,0.29497528076171875,True
107520,17408,False,0.07731819152832031,True
112640,17408,False,0.8266839981079102,True
113664,17408,False,0.9743919372558594,True
114688,17408,False,0.6568536758422852,True
115712,17408,False,0.527705192565918,True
116736,17408,False,0.8285627365112305,True
117760,17408,False,0.8791160583496094,True
118784,17408,False,0.7686491012573242,True
119808,17408,False,0.8485660552978516,True
120832,17408,False,0.6237306594848633,True
121856,17408,False,0.1975536346435547,True
114688,18432,False,0.06282234191894531,True
115712,18432,False,0.1279582977294922,True
116736,18432,False,0.3614616394042969,True
117760,18432,False,0.4958686828613281,True
118784,18432,False,0.8515911102294922,True
119808,18432,False,0.8781280517578125,True
120832,18432,False,0.6451654434204102,True
121856,18432,False,0.9018821716308594,True
122880,18432,False,0.48503589630126953,True
123904,18432,False,0.32724761962890625,True
124928,18432,False,0.09972000122070312,True
118784,19456,False,0.1021270751953125,True
119808,19456,False,0.5216360092163086,True
120832,19456,False,0.3910551071166992,True
121856,19456,False,0.8397855758666992,True
122880,19456,False,0.9468269348144531,True
123904,19456,False,0.8835515975952148,True
124928,19456,False,0.9196529388427734,True
125952,19456,False,0.8574028015136719,True
126976,19456,False,0.47875118255615234,True
128000,19456,False,0.1680898666381836,True
58368,20480,False,0.10303401947021484,True
59392,20480,False,0.2106342315673828,True
60416,20480,False,0.27411651611328125,True
121856,20480,False,0.0747690200805664,True
122880,20480,False,0.07325458526611328,True
123904,20480,False,0.802302360534668,True
124928,20480,False,0.9445619583129883,True
125952,20480,False,0.7743597030639648,True
126976,20480,False,0.7588949203491211,True
128000,20480,False,0.8893938064575195,True
129024,20480,False,0.7998895645141602,True
130048,20480,False,0.2450857162475586,True
58368,21504,False,0.47472572326660156,True
59392,21504,False,0.8482036590576172,True
60416,21504,False,0.5675086975097656,True
123904,21504,False,0.08133125305175781,True
124928,21504,False,0.3693046569824219,True
125952,21504,False,0.7818765640258789,True
126976,21504,False,0.9007959365844727,True
128000,21504,False,0.8998489379882812,True
129024,21504,False,0.9399442672729492,True
130048,21504,False,0.9070987701416016,True
131072,21504,False,0.8786602020263672,True
132096,21504,False,0.4178123474121094,True
133120,21504,False,0.15276145935058594,True
134144,21504,False,0.09064674377441406,True
135168,21504,False,0.12274360656738281,True
136192,21504,False,0.27460289001464844,True
137216,21504,False,0.6008033752441406,True
138240,21504,False,0.5460243225097656,True
139264,21504,False,0.4468841552734375,True
140288,21504,False,0.20591259002685547,True
56320,22528,False,0.6132888793945312,True
57344,22528,False,0.8396768569946289,True
58368,22528,False,0.8717708587646484,True
59392,22528,False,0.9197921752929688,True
60416,22528,False,0.5983057022094727,True
125952,22528,False,0.0808267593383789,True
126976,22528,False,0.38703346252441406,True
128000,22528,False,0.2111196517944336,True
129024,22528,False,0.3516559600830078,True
130048,22528,False,0.2736520767211914,True
131072,22528,False,0.23164749145507812,True
133120,22528,False,0.07229900360107422,True
134144,22528,False,0.16981220245361328,True
135168,22528,False,0.15960979461669922,True
136192,22528,False,0.23879432678222656,True
137216,22528,False,0.31426525115966797,True
138240,22528,False,0.21100616455078125,True
139264,22528,False,0.5782680511474609,True
140288,22528,False,0.05319786071777344,True
52224,23552,False,0.07392120361328125,True
53248,23552,False,0.11674118041992188,True
54272,23552,False,0.3791923522949219,True
55296,23552,False,0.6746301651000977,True
56320,23552,False,0.7313718795776367,True
57344,23552,False,0.9341211318969727,True
58368,23552,False,0.8997840881347656,True
59392,23552,False,0.6051769256591797,True
60416,23552,False,0.0633392333984375,True
139264,23552,False,0.4732046127319336,True
140288,23552,False,0.21080780029296875,True
50176,24576,False,0.2043466567993164,True
51200,24576,False,0.5781288146972656,True
52224,24576,False,0.7707023620605469,True
53248,24576,False,0.7633247375488281,True
54272,24576,False,0.9250459671020508,True
55296,24576,False,0.9224510192871094,True
56320,24576,False,0.9771842956542969,True
57344,24576,False,0.8813381195068359,True
58368,24576,False,0.32583045959472656,True
